sample_elevation,SQ
200,9242297.07641
200,4320254.21128
200,3916490.59528
200,2612106.21793
300,2209519.06319
300,6444147.33162
300,2749778.55678
300,867277.15258
500,1748085.20235
500,2144783.51186
500,1525151.84620
600,4957347.41176
600,5787300.55169
600,6447083.86182
800,3271671.20702
800,3252280.48930
800,1147796.05507
800,2574594.76474
900,2871858.19166
900,2991364.50696
900,6037868.98160
900,3992535.30201
1000,3159938.92204
1000,2889994.34452
1000,6673956.67052
1000,6456607.33016
1100,6677775.68612
1100,1873161.85665
1100,7776178.68848
1100,10714869.92731
1200,3752703.57975
1200,4314689.93028
1200,7377669.22615
1200,6035871.79073
1300,5127124.81043
1300,5323710.73825
1300,5439403.73419
1400,1257438.84164
1400,7377794.38201
1400,10518491.86839
1400,10485568.57994
1500,5959446.07744
1500,7425766.34371
1500,9888122.07341
1500,9767371.76471
